time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
3.529,0.10,-0.05,1.01,-0.04,-0.04,0.04,-0.02,0.03,-0.01,0.00
3.54,0.10,-0.05,1.01,-0.04,-0.04,0.04,-0.01,0.04,0.01,0.00
3.541,0.10,-0.05,1.01,-0.03,-0.06,0.19,-0.01,0.04,0.01,0.00
3.603,0.11,-0.05,1.02,-0.03,-0.06,0.19,-0.01,0.04,0.01,0.00
3.607,0.11,-0.05,1.02,-0.03,-0.06,0.19,-0.03,0.00,0.05,0.00
3.608,0.11,-0.05,1.02,0.16,-0.04,0.22,-0.03,0.00,0.05,0.00
3.687,0.10,-0.06,0.97,0.16,-0.04,0.22,-0.03,0.00,0.05,0.00
3.696,0.10,-0.06,0.97,0.16,-0.04,0.22,-0.05,-0.07,0.10,0.00
3.696,0.10,-0.06,0.97,-0.19,-0.11,0.03,-0.05,-0.07,0.10,0.00
3.727,0.11,-0.05,0.97,-0.19,-0.11,0.03,-0.05,-0.07,0.10,0.00
3.738,0.11,-0.05,0.97,-0.19,-0.11,0.03,-0.02,0.02,0.01,0.00
3.738,0.11,-0.05,0.97,0.09,0.07,-0.05,-0.02,0.02,0.01,0.00
3.794,0.11,-0.04,1.00,0.09,0.07,-0.05,-0.02,0.02,0.01,0.00
3.805,0.11,-0.04,1.00,0.09,0.07,-0.05,0.06,-0.07,-0.04,0.00
3.806,0.11,-0.04,1.00,0.06,0.09,0.04,0.06,-0.07,-0.04,0.00
3.869,0.10,-0.05,1.01,0.06,0.09,0.04,0.06,-0.07,-0.04,0.00
3.892,0.10,-0.05,1.01,0.06,0.09,0.04,0.04,0.01,-0.06,0.00
3.893,0.10,-0.05,1.01,-0.05,-0.01,0.15,0.04,0.01,-0.06,0.00
3.925,0.11,-0.05,1.03,-0.05,-0.01,0.15,0.04,0.01,-0.06,0.00
3.936,0.11,-0.05,1.03,-0.05,-0.01,0.15,0.01,0.01,-0.04,0.00
3.936,0.11,-0.05,1.03,0.09,-0.04,0.26,0.01,0.01,-0.04,0.00
4.003,0.11,-0.04,0.99,0.09,-0.04,0.26,0.01,0.01,-0.04,0.00
4.006,0.11,-0.04,0.99,0.09,-0.04,0.26,0.01,-0.04,-0.01,0.00
4.006,0.11,-0.04,0.99,0.07,0.00,0.01,0.01,-0.04,-0.01,0.00
4.075,0.10,-0.04,1.02,0.07,0.00,0.01,0.01,-0.04,-0.01,0.00
4.077,0.10,-0.04,1.02,0.07,0.00,0.01,0.01,0.02,-0.04,0.00
4.078,0.10,-0.04,1.02,-0.06,-0.01,0.30,0.01,0.02,-0.04,0.00
4.123,0.12,-0.05,0.99,-0.06,-0.01,0.30,0.01,0.02,-0.04,0.00
4.134,0.12,-0.05,0.99,-0.06,-0.01,0.30,-0.00,-0.04,0.02,0.00
4.134,0.12,-0.05,0.99,0.11,-0.02,0.05,-0.00,-0.04,0.02,0.00
4.205,0.09,-0.05,0.99,0.11,-0.02,0.05,-0.00,-0.04,0.02,0.00
4.207,0.09,-0.05,0.99,0.11,-0.02,0.05,-0.03,-0.04,0.03,0.00
4.207,0.09,-0.05,0.99,-0.15,-0.05,-0.05,-0.03,-0.04,0.03,0.00
4.265,0.11,-0.05,0.98,-0.15,-0.05,-0.05,-0.03,-0.04,0.03,0.00
4.266,0.11,-0.05,0.98,-0.15,-0.05,-0.05,-0.02,-0.02,0.05,0.00
4.267,0.11,-0.05,0.98,0.05,-0.00,-0.11,-0.02,-0.02,0.05,0.00
4.321,0.10,-0.04,1.02,0.05,-0.00,-0.11,-0.02,-0.02,0.05,0.00
4.332,0.10,-0.04,1.02,0.05,-0.00,-0.11,0.02,0.05,-0.07,0.00
4.333,0.10,-0.04,1.02,-0.07,0.06,0.25,0.02,0.05,-0.07,0.00
4.388,0.08,-0.05,1.01,-0.07,0.06,0.25,0.02,0.05,-0.07,0.00
4.399,0.08,-0.05,1.01,-0.07,0.06,0.25,-0.00,0.12,-0.05,0.00
4.4,0.08,-0.05,1.01,0.01,-0.00,0.16,-0.00,0.12,-0.05,0.00
4.497,0.10,-0.04,0.99,0.01,-0.00,0.16,-0.00,0.12,-0.05,0.00
4.5,0.10,-0.04,0.99,0.01,-0.00,0.16,0.02,-0.02,0.02,0.00
4.506,0.10,-0.04,0.99,0.05,0.05,-0.06,0.02,-0.02,0.02,0.00
4.519,0.11,-0.04,1.02,0.05,0.05,-0.06,0.02,-0.02,0.02,0.00
4.53,0.11,-0.04,1.02,0.05,0.05,-0.06,0.03,-0.04,-0.03,0.00
4.531,0.11,-0.04,1.02,0.06,0.02,0.22,0.03,-0.04,-0.03,0.00
4.586,0.11,-0.05,1.03,0.06,0.02,0.22,0.03,-0.04,-0.03,0.00
4.597,0.11,-0.05,1.03,0.06,0.02,0.22,-0.00,-0.01,-0.00,0.00
4.598,0.11,-0.05,1.03,0.22,-0.00,0.22,-0.00,-0.01,-0.00,0.00
4.661,0.11,-0.03,0.99,0.22,-0.00,0.22,-0.00,-0.01,-0.00,0.00
4.67,0.11,-0.03,0.99,0.22,-0.00,0.22,0.04,-0.08,0.01,0.00
4.672,0.11,-0.03,0.99,0.04,0.05,-0.01,0.04,-0.08,0.01,0.00
4.717,0.11,-0.05,1.00,0.04,0.05,-0.01,0.04,-0.08,0.01,0.00
4.729,0.11,-0.05,1.00,0.04,0.05,-0.01,0.00,-0.02,0.00,0.00
4.73,0.11,-0.05,1.00,0.02,-0.06,0.09,0.00,-0.02,0.00,0.00
4.786,0.11,-0.05,1.00,0.02,-0.06,0.09,0.00,-0.02,0.00,0.00
4.795,0.11,-0.05,1.00,0.02,-0.06,0.09,-0.05,-0.02,0.09,0.00
4.796,0.11,-0.05,1.00,-0.02,-0.06,0.16,-0.05,-0.02,0.09,0.00
4.849,0.11,-0.04,1.01,-0.02,-0.06,0.16,-0.05,-0.02,0.09,0.00
4.86,0.11,-0.04,1.01,-0.02,-0.06,0.16,-0.01,0.02,0.03,0.00
4.861,0.11,-0.04,1.01,0.00,0.03,0.07,-0.01,0.02,0.03,0.00
4.923,0.11,-0.04,1.01,0.00,0.03,0.07,-0.01,0.02,0.03,0.00
4.926,0.11,-0.04,1.01,0.00,0.03,0.07,0.03,0.00,-0.01,0.00
4.926,0.11,-0.04,1.01,0.09,0.02,0.16,0.03,0.00,-0.01,0.00
4.996,0.10,-0.04,1.00,0.09,0.02,0.16,0.03,0.00,-0.01,0.00
5.004,0.10,-0.04,1.00,0.09,0.02,0.16,0.00,0.02,0.01,0.00
5.004,0.10,-0.04,1.00,-0.05,-0.06,0.05,0.00,0.02,0.01,0.00
5.049,0.12,-0.04,1.02,-0.05,-0.06,0.05,0.00,0.02,0.01,0.00
5.058,0.12,-0.04,1.02,-0.05,-0.06,0.05,0.02,-0.04,0.00,0.00
5.059,0.12,-0.04,1.02,0.08,0.04,0.06,0.02,-0.04,0.00,0.00
5.125,0.10,-0.04,1.02,0.08,0.04,0.06,0.02,-0.04,0.00,0.00
5.126,0.10,-0.04,1.02,0.08,0.04,0.06,0.00,0.05,-0.01,0.00
5.127,0.10,-0.04,1.02,-0.03,-0.02,0.28,0.00,0.05,-0.01,0.00
5.185,0.12,-0.05,0.99,-0.03,-0.02,0.28,0.00,0.05,-0.01,0.00
5.192,0.12,-0.05,0.99,-0.03,-0.02,0.28,-0.03,-0.06,0.03,0.00
5.195,0.12,-0.05,0.99,0.14,-0.05,-0.01,-0.03,-0.06,0.03,0.00
5.245,0.08,-0.04,1.00,0.14,-0.05,-0.01,-0.03,-0.06,0.03,0.00
5.258,0.08,-0.04,1.00,0.14,-0.05,-0.01,-0.02,0.08,-0.01,0.00
